id,ucu,url
ARG,0.3,"/apex/NEU_Visual_SCM"
ARM,0.85,"/apex/NEU_Visual_SCM"
BLZ,0.65,"/apex/NEU_Visual_SCM"
BOL,0.85,"/apex/NEU_Visual_SCM"
BRA,0.85,"/apex/NEU_Visual_SCM"
BRN,0.70,"/apex/NEU_Visual_SCM"
BTN,0.85,"/apex/NEU_Visual_SCM"
BWA,0.85,"/apex/NEU_Visual_SCM"
CAF,0.90,"/apex/NEU_Visual_SCM"
CAN,0.85,"/apex/NEU_Visual_SCM"
CHE,0.85,"/apex/NEU_Visual_SCM"
CHL,0.56,"/apex/NEU_Visual_SCM"
CHN,0.85,"/apex/NEU_Visual_SCM"
CIV,0.64,"/apex/NEU_Visual_SCM"
CMR,0.85,"/apex/NEU_Visual_SCM"
COD,0.85,"/apex/NEU_Visual_SCM"
COG,0.65,"/apex/NEU_Visual_SCM"
COL,0.85,"/apex/NEU_Visual_SCM"
CPV,0.85,"/apex/NEU_Visual_SCM"
CRI,0.85,"/apex/NEU_Visual_SCM"
CUB,0.85,"/apex/NEU_Visual_SCM"
CYN,0.85,"/apex/NEU_Visual_SCM"
CYP,0.85,"/apex/NEU_Visual_SCM"
CZE,0.85,"/apex/NEU_Visual_SCM"
DEU,0.85,"/apex/NEU_Visual_SCM"
DJI,0.85,"/apex/NEU_Visual_SCM"
DMA,0.85,"/apex/NEU_Visual_SCM"
DNK,0.85,"/apex/NEU_Visual_SCM"
DOM,0.85,"/apex/NEU_Visual_SCM"
DZA,0.85,"/apex/NEU_Visual_SCM"
ECU,0.85,"/apex/NEU_Visual_SCM"
EGY,0.85,"/apex/NEU_Visual_SCM"
ERI,0.85,"/apex/NEU_Visual_SCM"
ESP,0.85,"/apex/NEU_Visual_SCM"
EST,0.85,"/apex/NEU_Visual_SCM"
ETH,0.85,"/apex/NEU_Visual_SCM"
FIN,0.85,"/apex/NEU_Visual_SCM"
FJI,0.85,"/apex/NEU_Visual_SCM"
FLK,0.85,"/apex/NEU_Visual_SCM"
FRA,0.85,"/apex/NEU_Visual_SCM"
GAB,0.85,"/apex/NEU_Visual_SCM"
GBR,0.85,"/apex/NEU_Visual_SCM"
GEO,0.85,"/apex/NEU_Visual_SCM"
GHA,0.85,"/apex/NEU_Visual_SCM"
GIN,0.85,"/apex/NEU_Visual_SCM"
GMB,0.85,"/apex/NEU_Visual_SCM"
GNB,0.85,"/apex/NEU_Visual_SCM"
GNQ,0.85,"/apex/NEU_Visual_SCM"
HND,0.95,"/apex/NEU_Visual_SCM"
SWZ,0.85,"/apex/NEU_Visual_SCM"
SYR,0.85,"/apex/NEU_Visual_SCM"
VEN,0.85,"/apex/NEU_Visual_SCM"
VNM,0.85,"/apex/NEU_Visual_SCM"
VUT,0.85,"/apex/NEU_Visual_SCM"
WSM,0.85,"/apex/NEU_Visual_SCM"
YEM,0.85,"/apex/NEU_Visual_SCM"
ZAF,0.85,"/apex/NEU_Visual_SCM"
ZMB,0.85,"/apex/NEU_Visual_SCM"
ZWE,0.85,"/apex/NEU_Visual_SCM"